V1,V2,weight
1579,406,0.82
1579,961,0.9
134,1322,0.83
134,246,0.64
1117,359,0.99
1117,319,0.89
1117,1322,0.7
1117,1164,0.82
1117,830,0.69
1045,830,0.9
1045,166,0.71
1045,952,0.83
254,525,0.62
111,1322,0.74
111,7,0.98
1403,770,0.4
325,1548,0.79
325,26,0.98
860,694,0.97
860,784,0.98
860,236,0.98
1481,631,0.67
1481,1171,0.91
1197,1275,0.84
1558,1314,0.88
1558,1771,0.96
1589,816,0.66
1499,1724,0.98
1499,1426,0.9
733,46,1.0
733,260,0.98
733,1145,0.98
733,827,0.64
733,689,0.74
733,1772,0.55
1720,961,0.67
1720,1345,0.77
1720,1371,0.98
977,319,1.0
977,1268,0.86
977,1190,0.91
977,251,0.96
977,560,0.79
977,694,0.76
977,99,0.87
977,1308,0.9
977,84,0.79
977,1200,0.79
977,1031,0.79
977,43,0.68
977,274,0.71
977,488,0.71
977,783,0.69
977,1013,0.83
977,1164,0.93
977,1302,0.96
977,322,0.85
1538,1317,0.6
1234,265,0.91
1234,1322,0.84
276,1322,0.6
276,900,0.83
185,71,0.97
185,319,0.88
656,1676,0.99
656,807,0.45
1550,1164,0.48
1550,891,0.72
1550,43,0.88
549,381,0.84
549,826,0.43
549,228,0.98
549,369,0.95
487,224,0.84
487,1322,0.56
40,319,0.7
221,406,0.97
221,1534,0.93
221,224,0.74
221,154,0.92
221,229,0.97
1438,1639,0.54
228,549,0.98
1600,1549,0.93
1126,1511,0.97
1126,1292,0.98
1126,841,0.98
1126,513,0.91
930,155,0.62
930,1755,0.92
930,979,0.93
1404,378,0.25
1143,46,0.98
1143,733,0.98
1143,1145,1.0
1143,437,0.97
1143,305,0.98
1744,1166,0.9
1744,224,0.79
1744,694,0.93
1744,166,0.92
1744,282,0.96
1744,152,1.0
1744,61,0.98
1744,8,0.85
1744,1090,0.92
1744,455,0.92
999,322,0.89
1525,998,0.94
1525,536,0.72
336,335,0.97
1338,536,0.5
1338,142,0.63
1338,465,0.8
877,194,0.9
877,173,0.83
319,1639,0.98
319,668,0.95
319,539,0.96
319,588,0.95
319,1322,0.81
319,84,0.79
291,1090,0.89
291,1224,0.96
291,455,0.89
291,1538,0.88
1760,501,0.63
306,1117,0.83
504,488,0.89
504,513,0.94
764,1639,0.53
326,1639,0.67
1554,1330,0.57
1554,546,0.59
1700,886,0.66
1389,32,0.77
1389,937,0.8
1389,998,0.78
1389,86,0.32
992,970,0.96
992,1164,0.42
992,833,0.59
992,46,0.65
992,827,0.98
992,1548,0.98
992,39,0.88
992,459,0.91
992,486,0.92
992,537,0.84
1512,709,0.71
1512,475,0.88
1512,1322,0.49
1545,228,0.93
1062,46,0.87
1062,879,0.98
