"source","target","value"
"64","196","0.84"
"650","830","0.94"
"1088","873","0.95"
"1088","1164","0.35"
"1088","830","0.83"
"1088","1200","0.64"
"476","937","0.94"
"476","1085","0.98"
"302","1302","0.64"
"302","588","0.64"
"302","319","0.69"
"302","348","0.94"
"302","221","0.97"
"302","1282","0.98"
"302","1130","0.97"
"440","1200","0.94"
"440","1203","0.93"
"665","1302","0.79"
"665","972","0.96"
"665","996","0.88"
"665","1330","0.97"
"665","229","0.85"
"560","999","0.84"
"560","322","0.95"
"560","46","0.96"
"1045","486","0.9"
"1045","462","0.08"
"1181","43","0.81"
"234","1201","0.7"
"1325","652","0.76"
"1325","1320","0.74"
"1325","879","0.6"
"981","39","0.94"
"369","1324","0.98"
"428","46","0.86"
"525","693","0.64"
"525","309","0.89"
"525","808","0.88"
"525","1190","0.85"
"525","977","0.76"
"525","560","0.98"
"525","1268","0.9"
"525","93","0.95"
"525","84","0.98"
"525","937","0.88"
"525","1013","0.93"
"525","406","0.93"
"1332","623","0.84"
"1111","406","0.82"
"1111","415","0.83"
"960","433","0.97"
"960","111","0.96"
"960","285","0.87"
"960","561","0.88"
"960","792","0.92"
"960","1164","0.81"
"960","1190","0.98"
"260","296","0.79"
"468","677","0.92"
"1259","1356","0.93"
"930","1130","0.94"
"930","979","0.88"
"52","614","0.55"
"862","569","0.96"
"660","1013","0.78"
"660","1316","0.93"
"219","423","0.89"
"219","265","0.93"
"219","1148","0.98"
"1250","322","0.98"
"1250","119","0.98"
"1250","738","0.97"
"577","577","0.75"
"1114","1367","0.98"
"1114","1348","0.97"
"1114","1330","0.49"
"1114","1146","0.66"
"1312","937","0.99"
"1312","870","0.84"
"839","87","0.82"
